"External ID","Name","Supplier/Supplier Product Code"
"AUTOLAMPS0171","ISUZU NKR 3.3 - CORNER LAMP - LH","IZ01-0103"
"AUTOLAMPS0172","ISUZU NKR 3.3 - CORNER LAMP - RH","IZ01-0103"
"AUTOLAMPS0173","ISUZU NKR 3.3 - CORNER LENS","IZ01-0103"
"AUTOLAMPS0168","ISUZU NKR 3.3 - FOG LAMP","IZ01-0105"
"AUTOLAMPS0177","ISUZU NKR 3.3 - FOG LENS","IZ01-0105-00"
"AUTOLAMPS0178","ISUZU NKR 3.3 - FRONT BUMPER W/O FOG LAMP HOLE, W/PLATE (1680MM)","IZ01-0108"
"AUTOLAMPS0169","ISUZU NKR 3.3 - FRONT GRILL (BLUE)","GL-017-043"
"AUTOLAMPS0163","ISUZU NKR 3.3 - HEAD LAMP BRACKET - LH","IZ01-0101-1"
"AUTOLAMPS0164","ISUZU NKR 3.3 - HEAD LAMP BRACKET - RH","IZ01-0101-1"
"AUTOLAMPS0161","ISUZU NKR 3.3 - HEAD LAMP - LH","IZ01-0101"
"AUTOLAMPS0162","ISUZU NKR 3.3 - HEAD LAMP - RH","IZ01-0101"
"AUTOLAMPS0170","ISUZU NKR 3.3 -  MIRROR GLASS","LL-050"
"AUTOLAMPS0165","ISUZU NKR 3.3 - SIDE GRILL (BLUE) - LH","IZ01-0214-02"
"AUTOLAMPS0166","ISUZU NKR 3.3 - SIDE GRILL (BLUE) - RH ","IZ01-0214-02"
"AUTOLAMPS0167","ISUZU NKR 3.3 SIDE MIRROR","LL-050"
"AUTOLAMPS0176","ISUZU NKR 3.6/4.3 - FRONT BUMPER WITH FOG LAMP HOLE (1680MM)","IZ02-0108B"
"AUTOLAMPS0174","ISUZU NKR 3.6 - MIRROR GLASS - 3MM","LL-042-00"
"AUTOLAMPS0175","ISUZU NKR 3.6 - SIDE MIRROR","LL-042"
"AUTOLAMPS0179","ISUZU NKR 4.3 (04-05) - FRONT BUMPER W/OUT FOG LAMP (1680MM)","IZ07-0108B"
"AUTOLAMPS0180","ISUZU NKR4.3T - CORNER LAMP (213-1514) - LH","IZ01-0203"
"AUTOLAMPS0181","ISUZU NKR4.3T - CORNER LAMP (213-1514) - RH","IZ01-0203"
"AUTOLAMPS0182","ISUZU NKR4.3T - CORNER LENS (213-1514-00) - LH","IZ01-0203-00"
"AUTOLAMPS0183","ISUZU NKR4.3T - CORNER LENS (213-1514-00) - RH","IZ01-0203-00"
"AUTOLAMPS0186","ISUZU NKR4.3T - HEAD LAMP (213-1111) - LH","IZ01-0201"
"AUTOLAMPS0187","ISUZU NKR4.3T - HEAD LAMP (213-1111) - RH","IZ01-0201"
"AUTOLAMPS0184","ISUZU NKR ELF (93-03) - HEAD LAMP (213-1114) - LH","IZ02-0201"
"AUTOLAMPS0185","ISUZU NKR ELF (93-03) - HEAD LAMP (213-1114) - RH","IZ02-0201"
"AUTOLAMPS0197","ISUZU NPR 3.6/4.3 - FRONT BUMPER W/OUT FOG LAMP HOLE (1980MM)","IZ02-0208 (W/O FOG HOLE)"
"AUTOLAMPS0192","ISUZU NPR 3.6 (93-03) - CORNER LAMP (213-1518) - LH","IZ02-0203A"
"AUTOLAMPS0193","ISUZU NPR 3.6 (93-03) - CORNER LAMP (213-1518) - RH","IZ02-0203A"
"AUTOLAMPS0210","ISUZU NPR 3.6 (93-03) - CORNER LENS (213-1518-00) - LH","IZ02-0203A-00"
"AUTOLAMPS0211","ISUZU NPR 3.6 (93-03) - CORNER LENS (213-1518-00) - RH","IZ02-0203A-00"
"AUTOLAMPS0194","ISUZU NPR 3.6 (93-03) - CORNER PANEL - LH","IZ02-0128"
"AUTOLAMPS0195","ISUZU NPR 3.6 (93-03) - CORNER PANEL - RH","IZ02-0128"
"AUTOLAMPS0196","ISUZU NPR 3.6 (93-03) - FOG LAMP (213-2007-UE)","IZ02-0105B"
"AUTOLAMPS0198","ISUZU NPR 3.6 (93-03) - FRONT GRILL - LONG (BLUE)","IZ02-0214"
"AUTOLAMPS0199","ISUZU NPR 3.6 (93-03) - FRONT GRILL - LONG (WHITE)","IZ02-0214-W"
"AUTOLAMPS0202","ISUZU NPR 3.6 (93-03) - HEAD LAMP HOUSING - LH","IZ02-0101-1"
"AUTOLAMPS0203","ISUZU NPR 3.6 (93-03) - HEAD LAMP HOUSING - RH","IZ02-0101-1"
"AUTOLAMPS0200","ISUZU NPR 3.6 (93-03) - HEAD LAMP - LH","IZ02-0101"
"AUTOLAMPS0204","ISUZU NPR 3.6 (93-03) - HEAD LAMP MOULDING - LH","IZ02-0126"
"AUTOLAMPS0205","ISUZU NPR 3.6 (93-03) - HEAD LAMP MOULDING - RH","IZ02-0126"
"AUTOLAMPS0201","ISUZU NPR 3.6 (93-03) - HEAD LAMP - RH","IZ02-0101"
"AUTOLAMPS0216","ISUZU NPR 3.6 (93-03) - INNER MIRROR WITH LIGHT","IZ01-0129"
"AUTOLAMPS0214","ISUZU NPR 3.6 (93-03) - LIGHT CASE - LH","IZ02-0101-2"
"AUTOLAMPS0215","ISUZU NPR 3.6 (93-03) - LIGHT CASE - RH","IZ02-0101-2"
"AUTOLAMPS0188","ISUZU NPR 3.6 (93-03) - LOWER DEFLECTOR - LH","IZ02-0143"
"AUTOLAMPS0189","ISUZU NPR 3.6 (93-03) - LOWER DEFLECTOR - RH","IZ02-0143"
"AUTOLAMPS0220","ISUZU NPR 3.6 (93-03) - MIRROR BRACKET - LH","IZ02-0212-1"
"AUTOLAMPS0219","ISUZU NPR 3.6 (93-03) - MIRROR BRACKET - LH","IZ02-0212-1"
"AUTOLAMPS0206","ISUZU NPR 3.6 (93-03) - ORNAMENT PLATE MOULDING (GREY) - LH","IZ02-0104B"
